570, 11392
19, 54869
199, 26597
376, 18130
157, 30898
550, 21690
212, 46345
612, 43819
439, 48522
123, 3257
303, 19399
531, 10628
968, 50392
1126, 52958
14, 55357
389, 6362
541, 54453
347, 17916
425, 51021
214, 54815
668, 35895
51, 38010
589, 35341
669, 51483
379, 35408
49, 23329
559, 19176
674, 23011
840, 50236
468, 17605
215, 29557
25, 50392
29, 2483
366, 51444
868, 43049
150, 10870
520, 11850
244, 46801
63, 20482
370, 14834
276, 583
1068, 28315
397, 19913
33, 2242
507, 31213
331, 15054
22, 17123
404, 2179
136, 16497
194, 49797
232, 43059
583, 841
155, 26297
232, 9083
36, 25310
81, 51043
938, 12832
1289, 39629
882, 26159
113, 10831
898, 52466
780, 6259
521, 5341
535, 10860
177, 10017
978, 17788
1449, 47662
651, 10666
86, 40825
49, 29833
759, 18569
401, 42210
58, 47309
724, 49593
521, 25920
847, 47137
570, 19956
756, 37726
563, 34093
952, 20457
310, 19231
564, 9618
184, 52186
684, 38966
625, 2734
296, 10675
600, 1378
626, 39234
55, 4867
591, 37683
311, 15678
191, 39830
32, 22099
612, 47998
22, 46256
211, 34880
604, 25631
725, 9530
317, 34353
75, 2392
104, 22044
117, 48953
389, 51531
747, 38722
665, 41614
700, 29648
899, 44444
1351, 49451
245, 44036
665, 23866
419, 4325
92, 1797
29, 33721
295, 22952
564, 5752
725, 20239
490, 31750
416, 25985
257, 1797
68, 49729
99, 9604
488, 28535
482, 46677
232, 31668
411, 31290
518, 50240
975, 7074
906, 46506
91, 12330
277, 51745
249, 21712
476, 54788
396, 18584
351, 40229
10, 1372
658, 28535
46, 26171
372, 7018
124, 46788
638, 41956
729, 10666
114, 534
665, 34947
87, 17338
1024, 12053
262, 24323
40, 55408
472, 28262
15, 7433
466, 43962
60, 3137
981, 37894
454, 33696
126, 12248
600, 10591
611, 10095
946, 19345
1051, 47205
422, 9584
110, 9398
365, 10474
1031, 12152
311, 51531
555, 44915
292, 23793
404, 46399
68, 10860
126, 598
468, 53680
231, 23691
131, 4442
25, 39830
93, 39830
209, 49797
900, 25441
93, 35895
121, 33919
189, 24661
858, 17338
513, 39646
789, 31682
637, 30212
76, 5408
489, 11850
349, 21925
86, 8166
44, 8917
540, 11611
377, 15662
736, 51571
261, 47593
887, 1359
426, 28790
472, 2664
175, 7997
241, 14187
413, 32976
249, 30589
448, 22799
861, 53542
242, 33363
127, 1359
284, 26722
58, 40598
896, 22015
162, 49593
691, 10860
1164, 12152
246, 322
12, 3656
196, 39660
71, 30312
467, 20754
420, 5747
719, 41614
490, 2664
940, 52466
133, 34445
417, 14696
788, 3259
515, 54947
316, 6228
114, 25362
9, 7743
393, 44973
175, 51851
858, 4442
744, 47205
190, 3526
313, 40020
350, 34076
951, 47533
602, 35895
256, 17782
141, 9200
49, 42956
12, 16753
214, 13843
100, 38634
34, 8701
570, 7445
456, 18330
747, 7074
858, 2392
38, 13198
783, 38099
191, 49593
324, 49959
1031, 48691
591, 1957
296, 34466
294, 2888
345, 53437
44, 47205
489, 21617
92, 46689
376, 22799
323, 5797
739, 15366
328, 26187
527, 34753
711, 21617
480, 19176
780, 2844
837, 53989
508, 6587
399, 1228
372, 22761
